date,value
2016-11-10 00:00:00,159154.0
2016-11-11 00:00:00,152303.0
2016-11-12 00:00:00,77360.0
2016-11-13 00:00:00,70855.0
2016-11-14 00:00:00,156452.0
2016-11-15 00:00:00,170167.0
2016-11-16 00:00:00,178000.0
2016-11-17 00:00:00,170936.0
2016-11-18 00:00:00,156427.0
2016-11-19 00:00:00,78230.0
2016-11-20 00:00:00,74597.0
2016-11-21 00:00:00,161543.0
2016-11-22 00:00:00,163325.0
2016-11-23 00:00:00,146207.0
2016-11-24 00:00:00,85451.0
2016-11-25 00:00:00,80380.0
2016-11-26 00:00:00,70768.0
2016-11-27 00:00:00,70862.0
2016-11-28 00:00:00,159260.0
2016-11-29 00:00:00,173357.0
2016-11-30 00:00:00,184880.0
2016-12-01 00:00:00,174924.0
2016-12-02 00:00:00,168376.0
2016-12-03 00:00:00,83464.0
2016-12-04 00:00:00,89372.0
2016-12-05 00:00:00,189064.0
2016-12-06 00:00:00,200814.0
2016-12-07 00:00:00,191128.0
2016-12-08 00:00:00,187967.0
2016-12-09 00:00:00,164803.0
2016-12-10 00:00:00,79935.0
2016-12-11 00:00:00,71147.0
2016-12-12 00:00:00,173785.0
2016-12-13 00:00:00,197595.0
2016-12-14 00:00:00,183175.0
2016-12-15 00:00:00,171691.0
2016-12-16 00:00:00,173361.0
2016-12-17 00:00:00,74797.0
2016-12-18 00:00:00,73551.0
2016-12-19 00:00:00,164269.0
2016-12-20 00:00:00,175155.0
2016-12-21 00:00:00,175842.0
2016-12-22 00:00:00,141673.0
2016-12-23 00:00:00,112972.0
2016-12-24 00:00:00,65769.0
2016-12-25 00:00:00,60107.0
2016-12-26 00:00:00,76552.0
2016-12-27 00:00:00,102323.0
2016-12-28 00:00:00,109089.0
2016-12-29 00:00:00,116564.0
2016-12-30 00:00:00,104811.0
2016-12-31 00:00:00,73182.0
2017-01-01 00:00:00,65905.0
2017-01-02 00:00:00,90456.0
2017-01-03 00:00:00,158401.0
2017-01-04 00:00:00,173994.0
2017-01-05 00:00:00,176192.0
2017-01-06 00:00:00,163768.0
2017-01-07 00:00:00,82503.0
2017-01-08 00:00:00,81962.0
2017-01-09 00:00:00,175757.0
2017-01-10 00:00:00,190088.0
2017-01-11 00:00:00,200084.0
2017-01-12 00:00:00,192998.0
2017-01-13 00:00:00,172071.0
